t_s,thumb_yaw_deg,thumb_mcp_deg,thumb_pip_deg,index_yaw_deg,index_mcp_deg,index_pip_deg,middle_yaw_deg,middle_mcp_deg,middle_pip_deg,palm_z_mm
0.0,17.354,23.303,0.011,-13.191,23.797,0.211,13.191,23.797,0.211,0.0
0.02,17.354,23.303,0.011,-13.191,23.797,0.211,13.191,23.797,0.211,0.0
0.04,17.354,23.303,0.011,-13.191,23.797,0.211,13.191,23.797,0.211,0.0
0.06,17.354,23.303,0.011,-13.191,23.797,0.211,13.191,23.797,0.211,0.0
0.08,17.354,23.303,0.011,-13.191,23.797,0.211,13.191,23.797,0.211,0.0
0.1,17.354,23.303,0.011,-13.191,23.797,0.211,13.191,23.797,0.211,0.0
0.12,17.354,23.303,0.011,-13.191,23.797,0.211,13.191,23.797,0.211,0.0
0.14,17.354,23.303,0.011,-13.191,23.797,0.211,13.191,23.797,0.211,0.0
0.16,17.354,23.303,0.011,-13.191,23.797,0.211,13.191,23.797,0.211,0.0
0.18,17.354,23.303,0.011,-13.191,23.797,0.211,13.191,23.797,0.211,0.0
0.2,17.354,23.303,0.011,-13.191,23.797,0.211,13.191,23.797,0.211,0.0
0.22,17.354,23.303,0.011,-13.191,23.797,0.211,13.191,23.797,0.211,0.0
0.24,17.354,23.303,0.011,-13.191,23.797,0.211,13.191,23.797,0.211,0.0
0.26,17.354,23.303,0.011,-13.191,23.797,0.211,13.191,23.797,0.211,0.0
0.28,17.354,23.303,0.011,-13.191,23.797,0.211,13.191,23.797,0.211,0.0
0.3,17.354,23.303,0.011,-13.191,23.797,0.211,13.191,23.797,0.211,0.0
0.32,17.354,23.303,0.011,-13.191,23.797,0.211,13.191,23.797,0.211,0.0
0.34,17.354,23.303,0.011,-13.191,23.797,0.211,13.191,23.797,0.211,0.0
0.36,17.354,23.303,0.011,-13.191,23.797,0.211,13.191,23.797,0.211,0.0
0.38,17.354,23.303,0.011,-13.191,23.797,0.211,13.191,23.797,0.211,0.0
0.4,17.354,23.303,0.011,-13.191,23.797,0.211,13.191,23.797,0.211,0.0
0.42,17.354,23.303,0.011,-13.191,23.797,0.211,13.191,23.797,0.211,0.0
0.44,17.354,23.303,0.011,-13.191,23.797,0.211,13.191,23.797,0.211,0.0
0.46,17.354,23.303,0.011,-13.191,23.797,0.211,13.191,23.797,0.211,0.0
0.48,17.354,23.303,0.011,-13.191,23.797,0.211,13.191,23.797,0.211,0.0
0.5,17.354,23.303,0.011,-13.191,23.797,0.211,13.191,23.797,0.211,5.0
0.52,17.354,23.303,0.011,-13.191,23.797,0.211,13.191,23.797,0.211,10.0
0.54,17.354,23.303,0.011,-13.191,23.797,0.211,13.191,23.797,0.211,15.0
